,Latitude,Longitude,Absolute elevation,Distance from Coast,AP1,AP2,DT1,DT2,HTM,LTM,AC1,AC2,LC1,LC2,RFL,RH1,RH2,WSD
BHAVNAGAR (A),21.75,72.18,11,4.62,1014.9,1011.7,15.7,26.9,31.9,8.8,0.9,1,0.2,0.2,2.4,58,36,12.1
BHAWANI-PATNA,19.92,83.18,261,186.51,986.1,981.8,20.6,27.1,32.3,9,1,1.2,0.3,0.3,6.3,61,36,
BHILWARA,25.35,74.63,425,385.02,968.7,,11.5,,28.1,3.5,1.6,,0.9,,7.9,66,,3.3
BHIRA,18.45,73.4,96,36.11,1002.9,999.3,18.3,30.9,36.3,12,0.2,0.1,0,0,0,78,43,
BHOPAL (BAIRAGARH),23.28,77.35,523,468.87,957.1,954.3,14.5,23.1,29.9,6.2,1.9,2,0.7,0.8,12.7,61,38,7.2
BHUBANESHWAR (A),20.25,85.83,46,48.17,1011.8,1008.1,20.1,25,32.2,11.6,1.7,1.8,0.6,0.7,11.2,72,51,5.7
BHUJ (RUDRAMATA),23.25,69.67,80,43.47,1007.3,1004.5,11.3,25.4,31.8,3.4,1.3,1.3,0.2,0.3,2,74,30,6.1
BHUNTAR (A),31.83,77.17,1096,1144.03,895.4,891.7,3,11.8,20.4,-1.3,3.7,4.3,1.9,2.2,88.2,89,54,2.5
BIDAR,17.92,77.53,664,383.73,940.9,937.6,20,26.5,31.6,13.5,1.8,3.1,1,0.9,6.5,64,41,8.9
BIJAPUR,16.82,75.72,594,243.64,948.2,944.4,18.4,28.1,33.6,13.6,1.7,2,0.3,0.2,4.1,67,38,4
BIKANER,28,73.3,224,637.17,991.4,988.9,8.9,21,28.3,1.9,2.2,2.3,0.6,0.5,5.5,67,34,2.9
BILASPUR,31.25,76.67,587,1065.98,946.9,944.9,7.3,16.3,23.3,2.1,,,,,70.6,90,62,2.4
BOLANGIR,20.7,83.5,190,216.07,994.9,991,19.1,25.4,31.1,10.1,1.2,1.2,0.7,0.7,10.2,70,50,2.8
BRAHMAPURI,20.6,79.85,229,468.38,990.3,986.7,17.2,27,32,8.7,1.6,1.6,1.1,0.9,10.6,74,42,3.3
BULDANA,20.53,76.23,650,344.36,942.3,939.4,17.5,25.8,30.7,10.6,1.2,1.3,0.3,0.4,8.5,57,36,6
BULSAR (VALSAD),20.62,72.93,15,2.32,1013.7,1010.8,16.5,26.4,32.7,10.7,0.8,0.3,0.4,0.2,0.3,75,56,4.6
CANNING,22.25,88.67,4,19.54,1017.1,1013.4,18,21.5,29.7,9.7,1.9,1.7,0.7,0.6,11.8,75,63,2.2
CAR-NICOBAR,9.17,92.83,10,0,1011.2,1008.5,28.4,27.3,31.7,18.8,4.2,4.4,2.7,2.9,49.2,75,79,4.7
CHAIBASA,22.55,85.82,226,173.21,991.2,987.1,17.2,23.3,29.6,7.2,1.1,1.1,0.4,0.2,14.6,68,49,
CHAMBAL (RAWAT BHATTA DAM),24.92,75.58,351,401.42,976.6,973.5,13.2,22,28.6,5.8,1.2,1.1,0.4,0.4,4.2,68,40,2.8
CHAMPA,22.03,82.7,245,381.12,988.6,985,15.8,25.5,30.6,9.3,1.7,2,0.5,0.4,11.6,70,42,3.8
CHANDBALI,20.78,86.73,6,14.18,1016.8,1013,20.1,23.5,31.6,10.3,1.4,1.3,0.5,0.3,9.6,73,61,3.6
